./programa
Resposta para a busca 1
1493, 28/02/2021, 157, SAO PAULO, ROUBO (ART. 157) - INTERIOR ESTABELECIMENTO, LG
182, 30/11/2018, NULO, SAO PAULO, FURTO (ART. 155) - OUTROS, MOTOROLA
665, 09/01/2019, 157, SAO PAULO, ROUBO (ART. 157) - TRANSEUNTE, APPLE
1389, 03/01/2021, 157, SAO PAULO, ROUBO (ART. 157) - OUTROS, ASUS
216, 30/04/2018, NULO, SAO PAULO, ROUBO (ART. 157) - TRANSEUNTE, QUANTUM
554, 31/01/2019, 155, SAO PAULO, FURTO (ART. 155) - TRANSEUNTE, ASUS
564, 31/01/2019, 155, SAO PAULO, FURTO (ART. 155) - INTERIOR DE VEICULO, APPLE
91, 30/11/2018, 155, SAO PAULO, NULO, APPLE
933, 31/12/2019, 157, SAO PAULO, ROUBO (ART. 157) - OUTROS, OUTROS
1135, 31/08/2020, 155, SAO PAULO, FURTO (ART. 155) - OUTROS, MOTOROLA
308, 30/04/2018, 157, SAO PAULO, NULO, SAMSUNG
955, 31/08/2020, 155, SAO PAULO, FURTO (ART. 155) - OUTROS, MOTOROLA
609, 09/01/2019, 157, SAO PAULO, ROUBO (ART. 157) - VEICULO, SAMSUNG
1531, 28/02/2021, 157, SAO PAULO, ROUBO (ART. 157) - OUTROS, MOTOROLA
1218, 30/11/2021, 155, SAO PAULO, FURTO (ART. 155) - OUTROS, XIAOMI
1238, 30/11/2021, 155, SAO PAULO, FURTO (ART. 155) - OUTROS, SAMSUNG
1217, 24/11/2021, 155, SAO PAULO, FURTO (ART. 155) - OUTROS, SAMSUNG
1490, 03/01/2021, 157, SAO PAULO, ROUBO (ART. 157) - TRANSEUNTE, MOTOROLA
463, 31/01/2019, 155, SAO PAULO, A.I.-FURTO QUALIFICADO (ART. 155) - TRANSEUNTE, APPLE
1047, 26/08/2020, 155, SAO PAULO, FURTO (ART. 155) - INTERIOR TRANSPORTE COLETIVO, SAMSUNG
1265, 28/11/2021, 155, SAO PAULO, FURTO (ART. 155) - OUTROS, APPLE
166, 30/11/2018, NULO, SAO PAULO, FURTO (ART. 155) - OUTROS, NULO
132, 12/01/2018, 155, SAO PAULO, NULO, NULO
1168, 30/11/2021, 155, SAO PAULO, FURTO (ART. 155) - TRANSEUNTE, SAMSUNG
611, 31/08/2019, 157, SAO PAULO, ROUBO (ART. 157) - OUTROS, SAMSUNG
1311, 12/01/2021, 155, SAO PAULO, FURTO (ART. 155) - OUTROS, MOTOROLA
472, 31/01/2019, 155, SAO PAULO, FURTO (ART. 155) - OUTROS, MOTOROLA
